ped_id,time_s,x,y,gt_x_1s,gt_y_1s,pred_x_1s,pred_y_1s
68,387.25,-0.253,2.839,0.039,3.092,0.548,3.509
68,387.5,-0.107,2.898,0.903,3.422,0.604,3.723
69,392.75,0.544,2.859,0.117,1.567,-0.667,1.731
69,393.0,0.272,2.81,0.185,1.363,-0.933,2.193
74,413.0,-1.321,1.373,-0.437,1.528,-0.786,1.758
74,413.25,-1.253,1.285,-0.204,1.586,-0.889,1.705
74,413.5,-1.059,1.285,0.136,1.771,-0.487,1.321
74,413.75,-1.059,1.285,0.243,1.878,-0.749,1.206
74,414.0,-0.437,1.528,0.457,1.829,0.698,1.482
74,414.25,-0.204,1.586,0.515,1.849,1.231,1.804
74,414.5,0.136,1.771,0.573,1.878,1.539,2.147
74,414.75,0.243,1.878,0.573,1.887,1.153,2.393
74,415.0,0.457,1.829,0.544,1.917,1.199,2.256
74,415.25,0.515,1.849,0.593,1.926,0.98,2.09
74,415.5,0.573,1.878,0.583,1.936,0.856,2.002
74,415.75,0.573,1.887,0.699,1.936,0.685,1.969
74,416.0,0.544,1.917,0.583,1.936,0.511,1.99
74,416.5,0.583,1.936,0.67,1.917,0.505,2.01
74,417.0,0.583,1.936,0.631,1.917,0.276,2.023
74,417.5,0.67,1.917,0.583,1.946,0.547,1.974
74,418.0,0.631,1.917,0.631,1.946,0.604,1.955
74,418.5,0.583,1.946,0.69,1.955,0.545,1.963
74,418.75,0.622,1.985,0.68,1.994,0.667,2.016
74,419.0,0.631,1.946,0.738,1.936,0.698,1.997
74,419.25,0.651,1.955,0.709,1.985,0.725,1.974
74,419.5,0.69,1.955,0.661,2.023,0.803,1.96
74,419.75,0.68,1.994,0.699,2.169,0.734,2.018
74,420.0,0.738,1.936,0.563,2.509,0.856,1.962
74,420.25,0.709,1.985,0.602,2.83,0.74,1.991
77,448.75,0.107,1.12,-0.651,1.188,-0.645,1.286
78,462.75,-1.234,1.246,-0.107,1.664,-0.737,1.57
78,463.0,-1.166,1.217,-0.223,1.421,-0.842,1.526
78,463.25,-0.67,1.353,0.427,1.45,0.444,1.409
78,463.75,-0.107,1.664,1.156,1.538,0.962,1.83
78,464.0,-0.223,1.421,1.525,1.45,0.065,1.771
82,470.25,0.544,2.461,-0.253,2.839,-0.763,2.098
85,484.5,-1.175,1.188,-0.097,1.46,-0.309,1.439
85,484.75,-1.01,1.343,0.087,1.441,-0.278,1.722
85,485.0,-0.845,1.275,0.379,1.479,-0.137,1.447
85,485.25,-0.486,1.373,0.777,1.615,0.548,1.382
85,485.5,-0.097,1.46,1.03,1.499,1.27,1.517
85,485.75,0.087,1.441,0.865,1.586,1.273,1.558
85,486.0,0.379,1.479,1.467,1.334,1.464,1.56
85,486.5,1.03,1.499,2.079,1.334,1.817,1.403
86,493.0,0.175,2.373,-1.078,2.878,-0.951,2.089
86,493.25,-0.272,2.548,-0.933,2.898,-1.975,2.944
86,493.5,-0.486,2.665,-1.428,3.442,-1.571,2.995
87,507.0,-1.418,1.207,-0.942,1.159,-1.062,1.681
87,507.25,-1.263,1.275,-0.738,1.188,-0.768,1.734
87,507.5,-1.234,1.188,-0.68,1.188,-0.901,1.377
87,507.75,-0.933,1.178,-0.563,1.237,-0.257,1.11
87,508.0,-0.942,1.159,-0.631,1.188,-0.489,1.054
87,508.25,-0.738,1.188,-0.661,1.188,-0.195,1.027
87,508.5,-0.68,1.188,0.058,1.441,-0.245,1.105
87,508.75,-0.563,1.237,0.078,1.518,-0.144,1.206
87,509.0,-0.631,1.188,0.185,1.499,-0.577,1.246
87,509.25,-0.661,1.188,0.272,1.509,-0.777,1.18
87,509.5,0.058,1.441,0.398,1.528,1.022,1.502
87,509.75,0.078,1.518,0.35,1.518,1.199,1.811
87,510.0,0.185,1.499,0.359,1.528,0.867,1.863
87,510.25,0.272,1.509,1.069,1.596,0.693,1.734
87,510.5,0.398,1.528,1.185,1.683,0.798,1.631
87,511.25,1.069,1.596,1.69,1.46,2.093,1.714
90,517.75,1.341,2.101,0.797,1.985,0.888,1.812
90,518.0,1.234,2.062,0.359,1.897,1.04,2.356
90,518.25,1.03,2.004,0.243,2.004,0.448,2.113
90,518.5,0.729,1.994,0.185,1.887,-0.299,1.905
90,518.75,0.797,1.985,0.049,1.819,0.274,1.806
90,519.0,0.359,1.897,-0.029,1.771,-0.66,1.838
90,519.25,0.243,2.004,-0.359,1.645,-0.626,1.881
90,519.5,0.185,1.887,-0.427,1.577,-0.332,1.866
90,519.75,0.049,1.819,-0.593,1.528,-0.384,1.772
90,520.0,-0.029,1.771,-0.573,1.499,-0.388,1.632
90,520.25,-0.359,1.645,-0.903,1.353,-1.129,1.481
90,520.5,-0.427,1.577,-0.991,1.275,-1.047,1.225
90,520.75,-0.593,1.528,-1.175,1.285,-1.184,1.202
90,521.0,-0.573,1.499,-1.341,1.266,-0.843,1.207
90,521.25,-0.903,1.353,-1.331,1.266,-1.567,1.212
92,537.0,-0.447,2.635,0.34,2.616,0.5,1.77
92,537.5,-0.019,2.519,0.369,2.558,1.024,2.323
92,537.75,0.204,2.558,0.933,2.538,1.2,2.397
93,545.0,0.204,1.178,-0.447,1.149,-0.541,1.586
97,557.5,-1.146,1.256,-0.049,1.441,-0.402,1.519
97,557.75,-1.214,1.237,0.476,1.577,-1.178,1.597
98,564.5,1.205,2.14,0.35,1.761,0.211,1.317
98,565.0,0.894,2.023,-0.495,1.373,0.278,1.519
98,565.5,0.35,1.761,-1.36,1.314,-1.146,1.443
100,577.75,-1.224,2.985,-0.165,1.198,0.35,1.671
107,621.5,-0.991,1.188,0.175,1.382,0.212,1.383
107,622.5,0.175,1.382,1.195,1.285,1.362,1.533
107,623.0,0.67,1.334,1.778,1.207,1.778,1.293
109,627.75,1.564,1.946,0.457,2.227,0.526,1.736
109,628.0,1.302,2.179,0.146,2.286,0.37,2.689
109,628.25,1.166,2.082,-0.194,2.383,0.458,2.483
109,628.5,0.67,2.198,-0.379,2.587,-0.759,2.481
109,628.75,0.457,2.227,-0.767,2.723,-0.776,2.38
109,629.0,0.146,2.286,-0.913,2.762,-1.071,2.507
109,629.25,-0.194,2.383,-1.36,3.393,-1.431,2.671
109,629.5,-0.379,2.587,-1.311,3.451,-1.377,2.964
111,642.25,-0.971,1.577,0.087,2.538,-0.001,1.906
111,642.5,-0.865,1.713,0.126,2.762,-0.199,2.542
111,642.75,-0.67,1.878,0.282,3.063,0.07,2.528
115,649.0,0.194,2.762,-0.175,1.509,-0.612,1.616
115,649.25,0.243,2.441,-0.272,1.169,0.134,1.504
115,649.75,0.01,1.693,-1.205,1.139,-0.151,0.903
116,663.5,-0.029,2.393,0.709,2.295,0.958,1.55
116,663.75,0.272,2.412,0.398,2.043,1.666,2.134
116,664.0,0.0,2.393,0.175,1.742,-0.159,2.362
116,664.25,0.661,2.422,-0.35,1.567,1.471,2.281
116,664.5,0.709,2.295,-0.68,1.45,1.533,2.124
116,664.75,0.398,2.043,-1.234,1.324,0.152,1.818
116,665.0,0.175,1.742,-1.399,1.373,-0.573,1.181
116,665.25,-0.35,1.567,-1.35,1.363,-1.712,0.862
117,674.0,-1.292,1.382,-0.301,2.247,-0.81,1.847
117,674.25,-1.098,1.538,0.039,2.509,-0.399,2.235
117,674.5,-0.855,1.771,0.068,2.48,0.035,2.412
117,674.75,-0.505,1.936,0.165,2.49,0.634,2.612
117,675.0,-0.301,2.247,0.661,2.888,0.71,3.018
117,675.5,0.068,2.48,0.311,2.801,0.452,3.029
117,675.75,0.165,2.49,0.185,2.237,0.465,2.849
117,676.0,0.661,2.888,-0.301,1.955,1.457,3.196
117,676.5,0.311,2.801,-1.137,1.227,0.7,3.32
117,676.75,0.185,2.237,-1.214,1.246,0.085,2.39
117,677.0,-0.301,1.955,-1.146,1.217,-1.044,1.591
120,693.75,0.291,1.518,-0.019,2.723,0.152,2.192
120,694.25,-0.029,2.121,-0.078,2.869,-0.474,3.38
120,694.75,-0.019,2.723,-0.311,2.801,-0.565,3.71
120,695.25,-0.078,2.869,-0.272,2.606,-0.423,3.663
120,695.75,-0.311,2.801,0.049,2.295,-0.66,3.43
120,696.0,-0.039,2.839,0.311,1.878,0.015,3.233
120,696.25,-0.272,2.606,0.214,1.431,-0.434,2.779
120,696.5,-0.136,2.412,0.437,1.178,-0.156,2.2
125,729.0,0.126,1.324,-0.602,1.985,-0.656,1.817
125,729.25,-0.136,1.47,-0.816,1.878,-1.153,2.237
125,729.75,-0.165,1.528,-1.069,2.014,-0.49,1.884
125,730.0,-0.602,1.985,-1.078,2.023,-1.703,2.514
125,730.25,-0.816,1.878,-1.078,2.014,-1.734,2.413
125,730.75,-1.069,2.014,-1.078,2.023,-1.716,2.405
125,731.0,-1.078,2.023,-1.146,1.965,-1.446,2.361
125,731.25,-1.078,2.014,-1.088,2.033,-1.23,2.27
125,731.5,-1.069,2.043,-1.069,2.091,-1.105,2.195
125,731.75,-1.078,2.023,-1.088,2.053,-1.096,2.101
125,732.0,-1.146,1.965,-1.224,2.684,-1.259,1.959
125,732.25,-1.088,2.033,-1.088,2.053,-1.099,1.958
129,742.0,0.301,2.907,0.68,2.771,0.522,1.983
129,742.25,0.554,2.869,0.554,2.83,1.519,2.722
129,742.5,0.67,2.742,0.389,2.878,1.406,2.581
129,743.5,0.389,2.878,0.913,2.771,0.321,2.651
129,744.5,0.913,2.771,1.195,2.295,0.801,2.62
131,752.5,0.515,1.771,-1.234,1.246,-1.527,1.94
131,752.75,0.029,1.577,-1.457,1.421,-1.918,1.703
132,766.75,-0.67,2.431,1.273,1.489,0.587,1.489
132,767.0,-0.155,2.033,1.574,1.363,1.641,1.381
133,771.75,1.651,2.15,-0.525,1.499,-0.668,1.88
133,772.0,0.874,1.936,-1.039,1.266,-1.96,1.966
133,772.25,0.563,1.732,-1.331,1.343,-1.404,1.233
134,785.25,-1.428,3.315,-1.146,3.403,-1.509,2.154
134,786.25,-1.146,3.403,-0.777,2.354,-1.055,2.855
134,786.5,-1.205,2.665,-0.544,1.79,-1.109,1.926
134,786.75,-0.971,2.295,-0.486,1.674,-0.625,1.152
134,787.0,-0.806,2.179,-0.33,1.751,-0.233,0.823
134,787.25,-0.777,2.354,-0.291,1.538,-0.45,1.249
134,787.5,-0.544,1.79,-0.068,1.402,0.053,1.053
134,787.75,-0.486,1.674,-0.155,1.46,0.039,0.841
136,796.5,-0.146,1.46,-0.661,2.325,-0.716,1.913
136,796.75,-0.272,1.567,-1.166,3.374,-0.808,2.303
136,797.25,-0.525,2.121,-1.253,3.024,-1.593,3.047
136,797.5,-0.661,2.325,-1.302,3.257,-1.385,3.406
137,810.5,-1.341,1.353,-0.457,1.363,-0.707,1.827
137,810.75,-1.253,1.198,-0.262,1.411,-0.774,1.696
137,811.0,-1.146,1.198,0.107,1.324,-0.703,1.245
137,811.25,-1.146,1.188,0.35,1.382,-0.947,1.059
137,811.5,-0.457,1.363,0.631,1.392,0.652,1.239
137,811.75,-0.262,1.411,0.797,1.275,1.2,1.481
137,812.0,0.107,1.324,0.719,1.305,1.533,1.447
139,818.75,1.039,2.169,-0.049,2.402,-0.126,1.738
139,819.0,0.67,2.169,-0.321,2.548,-0.743,2.229
139,819.25,0.583,2.208,-0.223,2.567,-0.227,2.14
139,819.5,0.301,2.325,-0.117,2.548,-0.679,2.417
