t_ms,id,x,y,vx,vy,v,x_plus_1,y_plus_1
115250,23,0.359429,2.237143,-1.049143,0.155429,1.060594,-0.544000,2.450857
115500,23,0.029143,2.217714,-1.321143,-0.077714,1.323427,-0.621714,2.470286
115750,23,-0.174857,2.363429,-0.816000,0.582857,1.002785,-0.320571,2.489714
116000,23,-0.534286,2.412000,-1.437714,0.194286,1.450782,NaN,NaN
116250,23,-0.544000,2.450857,-0.038857,0.155429,0.160212,NaN,NaN
116500,23,-0.621714,2.470286,-0.310857,0.077714,0.320424,NaN,NaN
116750,23,-0.320571,2.489714,1.204571,0.077714,1.207076,NaN,NaN
129750,25,-1.049143,1.158857,1.088000,-0.194286,1.105211,0.087429,1.605714
130000,25,-0.806286,1.236571,0.971429,0.310857,1.019954,0.291429,1.780571
130250,25,-0.544000,1.314286,1.049143,0.310857,1.094227,0.155429,1.693143
130500,25,-0.369143,1.362857,0.699429,0.194286,0.725911,0.845143,1.945714
130750,25,0.087429,1.605714,1.826286,0.971429,2.068573,NaN,NaN
131000,25,0.291429,1.780571,0.816000,0.699429,1.074735,NaN,NaN
131250,25,0.155429,1.693143,-0.544000,-0.349714,0.646712,NaN,NaN
131500,25,0.845143,1.945714,2.758857,1.010286,2.938021,NaN,NaN
137750,26,1.330857,1.897143,0.000000,2.914286,2.914286,-0.204000,2.431429
138000,26,0.971429,1.906857,-1.437714,0.038857,1.438239,-0.320571,2.353714
138250,26,0.816000,2.091429,-0.621714,0.738286,0.965191,-0.369143,2.460571
138500,26,0.408000,1.984571,-1.632000,-0.427429,1.687045,-0.330286,2.421714
138750,26,-0.204000,2.431429,-2.448000,1.787429,3.031106,-0.213714,2.441143
139000,26,-0.320571,2.353714,-0.466286,-0.310857,0.560406,NaN,NaN
139250,26,-0.369143,2.460571,-0.194286,0.427429,0.469513,NaN,NaN
139500,26,-0.330286,2.421714,0.155429,-0.155429,0.219809,NaN,NaN
139750,26,-0.213714,2.441143,0.466286,0.077714,0.472718,NaN,NaN
152250,28,-1.398857,1.460000,0.000000,0.038857,0.038857,-1.428000,1.576571
152500,28,-1.272571,1.596000,0.505143,0.544000,0.742365,NaN,NaN
152750,28,-1.224000,1.732000,0.194286,0.544000,0.577653,NaN,NaN
153000,28,-1.330857,1.576571,-0.427429,-0.621714,0.754469,NaN,NaN
153250,28,-1.428000,1.576571,-0.388571,0.000000,0.388571,NaN,NaN
153500,32,-0.563429,2.645143,0.738286,1.049143,1.282874,-0.456571,2.965714
153750,32,-0.427429,2.635429,0.544000,-0.038857,0.545386,-0.242857,3.014286
154000,32,-0.359429,2.810286,0.272000,0.699429,0.750456,-0.446857,3.043429
154250,32,-0.291429,2.810286,0.272000,0.000000,0.272000,-0.291429,3.062857
154500,32,-0.456571,2.965714,-0.660571,0.621714,0.907129,-0.427429,3.053143
154750,32,-0.242857,3.014286,0.854857,0.194286,0.876657,-0.524571,3.043429
155000,32,-0.446857,3.043429,-0.816000,0.116571,0.824284,-0.446857,2.994857
155250,32,-0.291429,3.062857,0.621714,0.077714,0.626553,-0.437143,3.014286
155500,32,-0.427429,3.053143,-0.544000,-0.038857,0.545386,-0.476000,2.994857
155750,32,-0.524571,3.043429,-0.388571,-0.038857,0.390509,-0.417714,3.014286
156000,32,-0.446857,2.994857,0.310857,-0.194286,0.366578,-0.534286,2.994857
156250,32,-0.437143,3.014286,0.038857,0.077714,0.086887,-0.427429,3.014286
156500,32,-0.476000,2.994857,-0.155429,-0.077714,0.173774,-0.398286,3.014286
156750,32,-0.417714,3.014286,0.233143,0.077714,0.245754,-0.427429,2.994857
157000,32,-0.534286,2.994857,-0.466286,-0.077714,0.472718,-0.437143,3.004571
157250,32,-0.427429,3.014286,0.427429,0.077714,0.434436,-0.427429,3.004571
157500,32,-0.398286,3.014286,0.116571,0.000000,0.116571,-0.398286,3.014286
157750,32,-0.427429,2.994857,-0.116571,-0.077714,0.140101,-0.369143,3.014286
158000,32,-0.437143,3.004571,-0.038857,0.038857,0.054952,-0.369143,3.033714
158250,32,-0.427429,3.004571,0.038857,0.000000,0.038857,-0.437143,3.043429
158500,32,-0.398286,3.014286,0.116571,0.038857,0.122877,-0.417714,3.004571
158750,32,-0.369143,3.014286,0.116571,0.000000,0.116571,-0.466286,2.975429
159000,32,-0.369143,3.033714,0.000000,0.077714,0.077714,-0.495429,2.965714
159250,32,-0.437143,3.043429,-0.272000,0.038857,0.274761,-0.495429,2.946286
159500,32,-0.417714,3.004571,0.077714,-0.155429,0.173774,-0.466286,2.956000
159750,32,-0.466286,2.975429,-0.194286,-0.116571,0.226574,-0.456571,2.965714
160000,32,-0.495429,2.965714,-0.116571,-0.038857,0.122877,-0.427429,2.985143
160250,32,-0.495429,2.946286,0.000000,-0.077714,0.077714,-0.417714,2.985143
160500,32,-0.466286,2.956000,0.116571,0.038857,0.122877,-0.369143,2.956000
160750,32,-0.456571,2.965714,0.038857,0.038857,0.054952,0.136000,2.771429
